"entidad","periodo","C110_Disponibilidades","C120_Inversiones","C130_Creditos","C139_Estimaciones","C140_CuentasxCobrar","C150_BienesVenta","C160_PartEmpresas","C170_PropiedadesEquipo","C180_OtrosActivos","C210_OblPublico","C220_OblBCCR","C230_OblEntidades","C240_CuentasxPagar","C250_OtrosPasivos","C260_ObligSubord","C310_CapitalSocial","C330_AjusOtrosResultados","C320_AportNoCap","C340_Reservas","C350_ResultadosAcum"
"CMB",2018-08-01,58134218081.61,213121391822.04,60800732290.86,-1954896085.94,443390894.89,0,0,662426133.6,2520429400.68,270009344044.81,12502083333.33,7977103511.21,6792233613,188481628.79,0,19843600000,-864216103.6,0,2193948999.81,8070812728.53
"CMB",2018-09-01,66425403435.54,199897486485.9,59449587209.85,-1889687099.73,533593828.25,0,0,653547351.82,3594652494.92,270244351369.46,1843161813.87,11680924154.23,7381574881.82,182173481.39,0,19843600000,-428592537.56,0,2193948999.81,8070812728.53
"CMB",2018-10-01,83964467655.03,241705004302.83,68307628258.11,-2093352899.12,593143773.88,0,0,636377367.58,2314996573.1,339420541596.34,0,9861788125.8,7530804214.08,352232217.9,0,19843600000,-577877524.51,0,2193948999.81,8070812728.53
"CMB",2018-11-01,110039273664.85,224840702398.91,68113178517.69,-2093060128.86,837060607.14,0,0,620729516.25,2491666834.8,343876843678.51,0,14454580803.2,7393464514.31,387073133.33,0,19843600000,-805664188.88,0,2193948999.81,7460812726.2
"CMB",2018-12-01,84728329930.17,204286849841.22,69170956901.26,-2100156940.67,502479428.15,0,0,603401298.25,3119814294.82,298298272616.35,5736545294.48,7850470904.82,7971892599.83,312792499.4,0,19843600000,-831567176.5,0,2193948999.81,7460812726.2
"CMB",2019-01-01,89258940996.35,224762539055.07,68901511169.47,-2104142794.65,813681590.01,0,0,586201708.57,3006039204.27,312934112835.44,2426983927.37,19696370807.68,8151131729.82,307858005.53,0,19843600000,-785507493.02,0,2871982495.78,20357842459.7
"CMB",2019-02-01,77681963856.99,228099760669.79,73458373254.48,-2355955609.95,558036837.02,0,0,573950401.84,8582849421.38,279336770340.89,0,50881552087.3,8294759862.78,5840002515.11,0,19843600000,-849180937.04,0,2871982495.78,20357842459.7
"CMB",2019-03-01,85287774011.4,218568558003.93,72738823138.87,-2298270310.57,512102717.04,0,0,556708877.56,744081933.48,277396022488.74,0,51840188052.24,2778859433.75,287797536.04,0,19843600000,-752643972.41,0,2871982495.78,20357842459.7
"CMB",2019-04-01,97184495493.67,209428355385.81,72078161351.66,-2295985700.49,319885622.76,0,0,540092168.63,5297068808.84,289004532913.17,4007286569.83,35667535940.54,4053231831.62,4635279383.02,0,19843600000,-241669635.71,0,2871982495.78,20357842459.7
"CMB",2019-05-01,110204920274.61,194003491542.84,62644900259.9,-2009266454.01,353458083.65,0,0,522988046.17,702938885.39,278896358242.4,0,36097816713.09,3900580150.04,342735786.26,0,19843600000,79177118.17,0,2871982495.78,20357842459.7
"CMB",2019-06-01,105058111326.6,197720463996.98,62686408172.23,-2015760061.14,271174797.87,0,0,507085344.83,2955831514.09,268742149768.25,0,43386178817.78,4916557470.99,1623169550.02,0,19843600000,288106015.34,0,2871982495.78,20357842459.7
"CMB",2019-07-01,146662270237.92,187085661664.62,68948236282.98,-2245110572.45,285740978.82,0,0,490307855.22,5824905939.44,294498873022.17,0,52622279669.54,5698496030.93,4273303095.94,0,19843600000,1053580901.44,0,3588931353.25,20357842459.7
"CMB",2019-08-01,155337986168.99,187128995868.06,67886990474.19,-2339463305.12,329322663.94,0,0,473377275.53,2718310075.55,295555236889.57,0,58445980505.9,6268593990.74,295808671.34,0,19843600000,1215997156.1,0,3588931353.25,20357842459.7
"CMB",2019-09-01,131834931720.84,191162850214.16,65765680589.47,-2125578278.79,340054531.8,0,0,465465684.05,10237962006.22,273631803349.14,0,72055184041.77,6970513787.27,5133040521.98,0,19843600000,1380873572.48,0,3588931353.25,7460842459.7
"CMB",2019-10-01,105712006796.62,209849531392.08,71242208416.88,-2263474018.81,362683539.3,0,0,449090955.3,10018770122.4,279937379027.75,0,61190092503.51,7781843688.5,5401411739.65,0,19843600000,1713379369.53,0,3588931353.25,7460842459.7
"CMB",2019-11-01,121135841243.71,201539549176.74,73655580763.49,-2380965956.44,399478339.65,0,0,432457213.82,5466854618.45,281304640883.96,0,67570086125.5,8642817136.3,330024409.75,0,19843600000,2409488729.86,0,3588931353.25,7460842459.7
